Store Name,Region,Brand,Category,Subcategory,Gender,MRP Bucket,Attribute 1,Attribute 2,Style,Season Tag,MRP,Size,EAN,Parent SKU,Store Stock,Distributed Stock,Post Distributed Stock,Reason,Replenishment Sales Qty,Initial Warehouse Stock,Remaining Warehouse Stock,Initial Planogram Gap,Remaining Planogram Gap
Delhi Safdarjung Enclave,NORTH,SILHOUETTE,FRAME,TITANIUM|RIMLESS|RECTANGLE,UNISEX,31700,,,SYS92140,,31700,FREE,SYS92140,SILH 5599/IB - Silhouette - Unisex - 3530 - 53 - Rimless - Rectangle - Titanium,0,1,1,REPLENISH,1,1,0,99981,99974
Jammu BC Road Rehari Chungi,NORTH,AVANTA,FRAME,METAL|SUPRA|RECTANGLE,MALE,590,,,SYS164850,,590,FREE,SYS164850,AV 25035525 - Avanta - Male - Purple - 49 - Supra - Rectangle - Metal,0,1,1,REPLENISH,1,1,0,99763,99690
Jammu BC Road Rehari Chungi,NORTH,AVANTA,FRAME,METAL|FULL|RECTANGLE,MALE,590,,,SYS164889,,590,FREE,SYS164889,AV 25035522 - Avanta - Male - Silver - 48 - Full Frame - Rectangle - Metal,0,1,1,REPLENISH,1,1,0,99763,99690
Jammu BC Road Rehari Chungi,NORTH,AVANTA,FRAME,METAL|FULL|RECTANGLE,MALE,590,,,SYS164885,,590,FREE,SYS164885,AV 25035522 - Avanta - Male - Black - 48 - Full Frame - Rectangle - Metal,0,1,1,REPLENISH,1,1,0,99763,99690
Jammu BC Road Rehari Chungi,NORTH,AVANTA,FRAME,METAL|FULL|RECTANGLE,MALE,590,,,SYS164859,,590,FREE,SYS164859,AV 25035526 - Avanta - Male - Gun - 48 - Full Frame - Rectangle - Metal,0,1,1,REPLENISH,1,5,0,99763,99690
Jammu BC Road Rehari Chungi,NORTH,AVANTA,FRAME,METAL|FULL|CAT EYE,FEMALE,1590,,,SYS165419,,1590,FREE,SYS165419,AV 69020 - Avanta - Female - C5 - 52 - Full Frame - Cat Eye - Metal,0,1,1,REPLENISH,1,2,0,99763,99690
Jammu BC Road Rehari Chungi,NORTH,AVANTA,FRAME,METAL|HALF|SQUARE,MALE,1590,,,SYS165406,,1590,FREE,SYS165406,AV 56127 - Avanta - Male - C5 - 51 - Half Frame - Square - Metal,0,1,1,REPLENISH,1,3,0,99763,99690
Ghaziabad RDC,NORTH,VOGUE,SUNGLASS,METAL|FULL|CAT EYE,FEMALE,6090,,,SYS56416,,6090,FREE,SYS56416,VO4002S - Vogue - Female - 934S13 - 55 - Sunglass - Cat Eye - Metal,0,1,1,REPLENISH,1,2,0,99969,99962
Gurgaon Sector 51 M2K,NORTH,VOGUE JUNIOR,FRAME,SHEET|FULL|SQUARE,KIDS,3790,,,SYS68537,,3790,FREE,SYS68537,VY2001 - Vogue Junior - Kids - 2686 - 47 - Full Frame - Square - Sheet,0,1,1,REPLENISH,1,3,2,99991,99990
Noida GaurCity,NORTH,VOGUE,SUNGLASS,METAL|FULL|CAT EYE,FEMALE,6690,,,SYS55855,,6690,FREE,SYS55855,VO4199S - Vogue - Female - 5075I6 - 58 - Sunglass - Cat Eye - Metal,2,0,2,REPLENISH,1,1,0,99968,99932
Hyderabad Kukatpally Nizampet X Roads,SOUTH,VOGUE JUNIOR,FRAME,SHEET|FULL|RECTANGLE,KIDS,3590,,,SYS162355,,3590,FREE,SYS162355,VY2042 - Vogue Junior - Kids - 2283 - 48 - Full Frame - Rectangle - Sheet,0,1,1,REPLENISH,1,2,0,99986,99982
Jammu BC Road Rehari Chungi,NORTH,AVANTA,FRAME,TR|FULL|RECTANGLE,MALE,790,,,SYS118601,,790,FREE,SYS118601,AV 8021 - Avanta - Male - Black - 50 - Full Frame - Rectangle - TR,0,1,1,REPLENISH,1,12,0,99763,99690
Hyderabad Kukatpally Nizampet X Roads,SOUTH,ADMYRA,FRAME,SHEET|FULL|CAT EYE,FEMALE,2790,,,SYS162311,,2790,FREE,SYS162311,AM 0132 - Admyra - Female - Black - 52 - Full Frame - Cat Eye - Sheet,1,1,2,REPLENISH,1,51,0,99829,99826
Delhi Dwarka Sec 09,NORTH,AVANTA,FRAME,METAL|HALF|RECTANGLE,MALE,1790,,,SYS117018,,1790,FREE,SYS117018,AV 56115 - Avanta - Male - C2 - 53 - Half Frame - Rectangle - Metal,0,1,1,REPLENISH,1,2,0,99623,99603
Guwahati Rukminigaon TRC,EAST,AVANTA,FRAME,SHEET|FULL|ROUND,UNISEX,1190,,,SYS158413,,1190,FREE,SYS158413,AV 0068HD - Avanta - Unisex - Black - 48 - Full Frame - Round - Sheet,0,1,1,REPLENISH,1,87,0,99645,99640
Guwahati Rukminigaon TRC,EAST,AVANTA,FRAME,SHEET|FULL|ROUND,UNISEX,1190,,,SYS158415,,1190,FREE,SYS158415,AV 0068HD - Avanta - Unisex - Transparent - 48 - Full Frame - Round - Sheet,0,1,1,REPLENISH,1,92,0,99645,99640
Guwahati Rukminigaon TRC,EAST,AVANTA,FRAME,SHEET|FULL|CAT EYE,FEMALE,1190,,,SYS158410,,1190,FREE,SYS158410,AV 0072HD - Avanta - Female - Purple - 51 - Full Frame - Cat Eye - Sheet,1,1,2,REPLENISH,1,77,0,99645,99640
Delhi Dwarka Sec 09,NORTH,VOGUE,FRAME,SHEET|FULL|CAT EYE,FEMALE,5190,,,SYS78555,,5190,FREE,SYS78555,VO5518 - Vogue - Female - 2942 - 51 - Full Frame - Cat Eye - Sheet,0,1,1,REPLENISH,1,1,0,99964,99950
Delhi Dwarka Sec 09,NORTH,RAYBAN,FRAME,METAL|FULL|SQUARE,MALE,6290,,,SYS78549,,6290,FREE,SYS78549,RX6514I - Rayban - Male - 2502 - 58 - Full Frame - Square - Metal,1,1,2,REPLENISH,1,2,0,99959,99907
Gurgaon Sector 51 M2K,NORTH,ADMYRA,FRAME,SHEET|FULL|SQUARE,MALE,2790,,,SYS162295,,2790,FREE,SYS162295,AM 0130 - Admyra - Male - Grey - 55 - Full Frame - Square - Sheet,1,1,2,REPLENISH,1,8,0,99858,99854
Jodhpur Sardarpura,WEST,AVANTA,FRAME,METAL|SUPRA|RECTANGLE,MALE,790,,,SYS165677,,790,FREE,SYS165677,AV 56809 - Avanta - Male - MT.Black - 53 - Supra - Rectangle - Metal,0,1,1,REPLENISH,1,1,0,99879,99867
