Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,375,1172,883,968,96,106,979,1074,255,127.5,85,289,170,459,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
Store & Code,Store-Brand-Product Type,Brand Code,Commodity,Store Name,Store Type,Store Category,Brand Code,Brand Type,Supplier name,Brand Name,Depth,Facing,SKU Count,SOH,Sku Count Local,SOH Local,SKU Count Total,SOH Total,Sales(Apr & May),Monthly Sales,Back stock,Facing Delta,BS Delta,Total Order,Star Locations,,,
Ajmer AD,AjmerAdmyraFrame,AD,Frame,Ajmer,SIS,,AD,Private Labels,Private Labels,Admyra,45,204,0,0,0,0,0,0,0,0,0,204,0,204,,,,
Ajmer AV,AjmerAvantaFrame,AV,Frame,Ajmer,SIS,,AV,Private Labels,Private Labels,Avanta,54,144,0,0,0,0,0,0,0,0,0,144,0,144,,,,PO-GURGAON
Ajmer AV-K,AjmerAvanta KidsFrame,AV-K,Frame,Ajmer,SIS,,AV-K,Private Labels,Private Labels,Avanta Kids,6,16,0,0,0,0,0,0,0,0,0,16,0,16,,,,PO-HYDERABAD
Laxmi nagar AD,Laxmi nagarAdmyraFrame,AD,Frame,Laxmi nagar,Retail,,AD,Private Labels,Private Labels,Admyra,48,112,0,0,0,0,0,0,0,0,0,112,0,112,,,,PO-JHUNJHUNU
Laxmi nagar AV,Laxmi nagarAvantaFrame,AV,Frame,Laxmi nagar,Retail,,AV,Private Labels,Private Labels,Avanta,30,70,0,0,0,0,0,0,0,0,0,70,0,70,,,,PO-VIJAYAWADA (MANIPAL)
Laxmi nagar AV-K,Laxmi nagarAvanta KidsFrame,AV-K,Frame,Laxmi nagar,Retail,,AV-K,Private Labels,Private Labels,Avanta Kids,12,28,0,0,0,0,0,0,0,0,0,28,0,28,,,,
Laxmi nagar BE-O,Laxmi nagarBurberryFrame,BE-O,Frame,Laxmi nagar,Retail,,BE-O,Luxury,Luxottica,Burberry,6,24,0,0,0,0,0,0,0,0,0,24,0,24,,,,
Laxmi nagar CA,Laxmi nagarCarreraFrame,CA,Frame,Laxmi nagar,Retail,,CA,Lifestyle,Safilo,Carrera,6,32,0,0,0,0,0,0,0,0,0,32,0,32,,,,
Laxmi nagar EA,Laxmi nagarEmporio ArmaniFrame,EA,Frame,Laxmi nagar,Retail,,EA,Premium Fashion,Luxottica,Emporio Armani,3,20,0,0,0,0,0,0,0,0,0,20,0,20,,,,
Laxmi nagar FC,Laxmi nagarFrench ConnectionFrame,FC,Frame,Laxmi nagar,Retail,,FC,Fast Fashion,Sterling,French Connection,9,36,0,0,0,0,0,0,0,0,0,36,0,36,,,,
Laxmi nagar ID-S,Laxmi nagarIdeeSunglass,ID-S,Sunglass,Laxmi nagar,Retail,,ID-S,Fast Fashion,Ronak Optics,Idee,12,28,0,0,0,0,0,0,0,0,0,28,0,28,,,,
Laxmi nagar OB,Laxmi nagarOmbraSunglass,OB,Sunglass,Laxmi nagar,Retail,,OB,Private Labels,Private Labels,Ombra,12,28,0,0,0,0,0,0,0,0,0,28,0,28,,,,
Laxmi nagar PC,Laxmi nagarPierre CardinFrame,PC,Frame,Laxmi nagar,Retail,,PC,Fast Fashion,Safilo,Pierre Cardin,6,32,0,0,0,0,0,0,0,0,0,32,0,32,,,,
Laxmi nagar RB,Laxmi nagarRaybanSunglass,RB,Sunglass,Laxmi nagar,Retail,,RB,Lifestyle,Luxottica,Rayban,12,56,0,0,0,0,0,0,0,0,0,56,0,56,,,,
Laxmi nagar RX,Laxmi nagarRaybanFrame,RX,Frame,Laxmi nagar,Retail,,RX,Lifestyle,Luxottica,Rayban,9,36,0,0,0,0,0,0,0,0,0,36,0,36,,,,
Laxmi nagar TH,Laxmi nagarTommy HilfigerFrame,TH,Frame,Laxmi nagar,Retail,,TH,Lifestyle,Sterling,Tommy Hilfiger,6,32,0,0,0,0,0,0,0,0,0,32,0,32,,,,
Laxmi nagar VO,Laxmi nagarVogueFrame,VO,Frame,Laxmi nagar,Retail,,VO,Fast Fashion,Luxottica,Vogue,9,36,0,0,0,0,0,0,0,0,0,36,0,36,,,,
PO-AGRA (ASHOKA PLAZA) AD,PO-AGRA (ASHOKA PLAZA)AdmyraFrame,AD,Frame,PO-AGRA (ASHOKA PLAZA),SIS,B,AD,Private Labels,Private Labels,Admyra,,85,176,176,38,42,214,218,10,5,0,-91,0,-91,,,,
PO-AGRA (ASHOKA PLAZA) AV,PO-AGRA (ASHOKA PLAZA)AvantaFrame,AV,Frame,PO-AGRA (ASHOKA PLAZA),SIS,B,AV,Private Labels,Private Labels,Avanta,,190,159,173,182,285,341,458,50,25,14,31,0,31,,,,
PO-AGRA (ASHOKA PLAZA) AV-K,PO-AGRA (ASHOKA PLAZA)Avanta KidsFrame,AV-K,Frame,PO-AGRA (ASHOKA PLAZA),SIS,B,AV-K,Private Labels,Private Labels,Avanta Kids,,25,9,9,40,57,49,66,0,0,0,16,0,16,,,,
PO-AGRA (ASHOKA PLAZA) RX,PO-AGRA (ASHOKA PLAZA)RaybanFrame,RX,Frame,PO-AGRA (ASHOKA PLAZA),SIS,B,RX,Lifestyle,Luxottica,Rayban,,12,6,6,0,0,6,6,7,3.5,0,6,0,6,,,,
PO-AGRA (ASHOKA PLAZA) VO,PO-AGRA (ASHOKA PLAZA)VogueFrame,VO,Frame,PO-AGRA (ASHOKA PLAZA),SIS,B,VO,Fast Fashion,Luxottica,Vogue,,12,10,10,0,0,10,10,3,1.5,0,2,0,2,,,,
PO-AHMEDABAD 2 AD,PO-AHMEDABAD 2AdmyraFrame,AD,Frame,PO-AHMEDABAD 2,SIS,B,AD,Private Labels,Private Labels,Admyra,,130,141,141,33,33,174,174,12,6,0,-11,0,-11,,,,
PO-AHMEDABAD 2 AV,PO-AHMEDABAD 2AvantaFrame,AV,Frame,PO-AHMEDABAD 2,SIS,B,AV,Private Labels,Private Labels,Avanta,,200,121,127,153,182,274,309,31,15.5,6,79,0,79,,,,
PO-AHMEDABAD 2 AV-K,PO-AHMEDABAD 2Avanta KidsFrame,AV-K,Frame,PO-AHMEDABAD 2,SIS,B,AV-K,Private Labels,Private Labels,Avanta Kids,,25,19,20,29,29,48,49,4,2,1,6,0,6,,,,
PO-AJMER AD,PO-AJMERAdmyraFrame,AD,Frame,PO-AJMER,SIS,B,AD,Private Labels,Private Labels,Admyra,,80,89,90,10,10,99,100,19,9.5,1,-9,0,-9,,,,
PO-AJMER AV,PO-AJMERAvantaFrame,AV,Frame,PO-AJMER,SIS,B,AV,Private Labels,Private Labels,Avanta,,150,54,55,76,108,130,163,84,42,1,96,0,96,,,,
PO-AJMER AV-K,PO-AJMERAvanta KidsFrame,AV-K,Frame,PO-AJMER,SIS,B,AV-K,Private Labels,Private Labels,Avanta Kids,,25,15,15,28,30,43,45,5,2.5,0,10,0,10,,,,
PO-ASHOK VIHAR AD,PO-ASHOK VIHARAdmyraFrame,AD,Frame,PO-ASHOK VIHAR,SIS,B,AD,Private Labels,Private Labels,Admyra,,162,135,135,25,25,160,160,19,9.5,0,27,0,27,,,,
PO-ASHOK VIHAR AV,PO-ASHOK VIHARAvantaFrame,AV,Frame,PO-ASHOK VIHAR,SIS,B,AV,Private Labels,Private Labels,Avanta,,150,152,157,231,308,383,465,28,14,5,-2,0,-2,,,,
PO-ASHOK VIHAR AV-K,PO-ASHOK VIHARAvanta KidsFrame,AV-K,Frame,PO-ASHOK VIHAR,SIS,B,AV-K,Private Labels,Private Labels,Avanta Kids,,30,16,20,26,27,42,47,0,0,4,14,-4,10,,,,
PO-BHUBANESWAR AD,PO-BHUBANESWARAdmyraFrame,AD,Frame,PO-BHUBANESWAR,SIS,A,AD,Private Labels,Private Labels,Admyra,60,140,142,143,0,0,142,143,29,14.5,1,-2,28,26,,,,
PO-BHUBANESWAR AV,PO-BHUBANESWARAvantaFrame,AV,Frame,PO-BHUBANESWAR,SIS,A,AV,Private Labels,Private Labels,Avanta,48,180,192,204,36,143,228,347,94,47,12,-12,48,36,,,,
PO-BHUBANESWAR AV-K,PO-BHUBANESWARAvanta KidsFrame,AV-K,Frame,PO-BHUBANESWAR,SIS,A,AV-K,Private Labels,Private Labels,Avanta Kids,12,28,27,32,1,1,28,33,4,2,5,1,-1,0,,,,
PO-BHUBANESWAR CA,PO-BHUBANESWARCarreraFrame,CA,Frame,PO-BHUBANESWAR,SIS,A,CA,Lifestyle,Safilo,Carrera,3,12,12,12,0,0,12,12,9,4.5,0,0,3,3,,,,
PO-BHUBANESWAR FC,PO-BHUBANESWARFrench ConnectionFrame,FC,Frame,PO-BHUBANESWAR,SIS,A,FC,Fast Fashion,Sterling,French Connection,6,24,10,10,0,0,10,10,4,2,0,14,4,18,,,,
PO-BHUBANESWAR PC,PO-BHUBANESWARPierre CardinFrame,PC,Frame,PO-BHUBANESWAR,SIS,A,PC,Fast Fashion,Safilo,Pierre Cardin,3,20,7,7,0,0,7,7,6,3,0,13,3,16,,,,
PO-BHUBANESWAR RX,PO-BHUBANESWARRaybanFrame,RX,Frame,PO-BHUBANESWAR,SIS,A,RX,Lifestyle,Luxottica,Rayban,6,32,14,14,0,0,14,14,5,2.5,0,18,5,23,,,,
PO-BHUBANESWAR TH,PO-BHUBANESWARTommy HilfigerFrame,TH,Frame,PO-BHUBANESWAR,SIS,A,TH,Lifestyle,Sterling,Tommy Hilfiger,6,24,14,14,0,0,14,14,5,2.5,0,10,5,15,,,,
PO-BHUBANESWAR VO,PO-BHUBANESWARVogueFrame,VO,Frame,PO-BHUBANESWAR,SIS,A,VO,Fast Fashion,Luxottica,Vogue,6,24,15,15,0,0,15,15,7,3.5,0,9,6,15,,,,
PO-DWARKA(Eye Institute) AD,PO-DWARKA(Eye Institute)AdmyraFrame,AD,Frame,PO-DWARKA(Eye Institute),SIS,A++,AD,Private Labels,Private Labels,Admyra,,224,226,262,34,38,260,300,177,88.5,36,-2,0,-2,,,,
PO-DWARKA(Eye Institute) AV,PO-DWARKA(Eye Institute)AvantaFrame,AV,Frame,PO-DWARKA(Eye Institute),SIS,A++,AV,Private Labels,Private Labels,Avanta,,224,214,232,140,217,354,449,215,107.5,18,10,0,10,,,,
PO-DWARKA(Eye Institute) BE-O,PO-DWARKA(Eye Institute)BurberryFrame,BE-O,Frame,PO-DWARKA(Eye Institute),SIS,A++,BE-O,Luxury,Luxottica,Burberry,,12,16,16,0,0,16,16,5,2.5,0,-4,0,-4,,,,
PO-DWARKA(Eye Institute) CA,PO-DWARKA(Eye Institute)CarreraFrame,CA,Frame,PO-DWARKA(Eye Institute),SIS,A++,CA,Lifestyle,Safilo,Carrera,,18,19,19,0,0,19,19,7,3.5,0,-1,0,-1,,,,
PO-DWARKA(Eye Institute) EA,PO-DWARKA(Eye Institute)Emporio ArmaniFrame,EA,Frame,PO-DWARKA(Eye Institute),SIS,A++,EA,Premium Fashion,Luxottica,Emporio Armani,,18,32,33,0,0,32,33,4,2,1,-14,0,-14,,,,
PO-DWARKA(Eye Institute) FC,PO-DWARKA(Eye Institute)French ConnectionFrame,FC,Frame,PO-DWARKA(Eye Institute),SIS,A++,FC,Fast Fashion,Sterling,French Connection,,42,16,16,0,0,16,16,13,6.5,0,26,0,26,,,,
PO-DWARKA(Eye Institute) HB,PO-DWARKA(Eye Institute)Hugo BossFrame,HB,Frame,PO-DWARKA(Eye Institute),SIS,A++,HB,Luxury,Safilo,Hugo Boss,,12,6,7,0,0,6,7,4,2,1,6,0,6,,,,
PO-DWARKA(Eye Institute) MB,PO-DWARKA(Eye Institute)MontblancFrame,MB,Frame,PO-DWARKA(Eye Institute),SIS,A++,MB,Luxury,Kering,Montblanc,,12,8,9,0,0,8,9,2,1,1,4,0,4,,,,
PO-DWARKA(Eye Institute) PC,PO-DWARKA(Eye Institute)Pierre CardinFrame,PC,Frame,PO-DWARKA(Eye Institute),SIS,A++,PC,Fast Fashion,Safilo,Pierre Cardin,,18,13,13,0,0,13,13,12,6,0,5,0,5,,,,
PO-DWARKA(Eye Institute) PR,PO-DWARKA(Eye Institute)PradaFrame,PR,Frame,PO-DWARKA(Eye Institute),SIS,A++,PR,Luxury,Luxottica,Prada,,12,15,15,0,0,15,15,4,2,0,-3,0,-3,,,,
PO-DWARKA(Eye Institute) RB,PO-DWARKA(Eye Institute)RaybanSunglass,RB,Sunglass,PO-DWARKA(Eye Institute),SIS,A++,RB,Lifestyle,Luxottica,Rayban,,24,16,24,0,0,16,24,2,1,8,8,-6,2,,,,
PO-DWARKA(Eye Institute) RX,PO-DWARKA(Eye Institute)RaybanFrame,RX,Frame,PO-DWARKA(Eye Institute),SIS,A++,RX,Lifestyle,Luxottica,Rayban,,42,31,34,0,0,31,34,29,14.5,3,11,0,11,,,,
PO-DWARKA(Eye Institute) TH,PO-DWARKA(Eye Institute)Tommy HilfigerFrame,TH,Frame,PO-DWARKA(Eye Institute),SIS,A++,TH,Lifestyle,Sterling,Tommy Hilfiger,,42,28,29,0,0,28,29,28,14,1,14,0,14,,,,
PO-DWARKA(Eye Institute) VE,PO-DWARKA(Eye Institute)VersaceFrame,VE,Frame,PO-DWARKA(Eye Institute),SIS,A++,VE,Luxury,Luxottica,Versace,,12,15,18,0,0,15,18,0,0,3,-3,-3,-6,,,,
PO-DWARKA(Eye Institute) VO,PO-DWARKA(Eye Institute)VogueFrame,VO,Frame,PO-DWARKA(Eye Institute),SIS,A++,VO,Fast Fashion,Luxottica,Vogue,,42,29,29,0,0,29,29,27,13.5,0,13,0,13,,,,
PO-DWARKA12 AD,PO-DWARKA12AdmyraFrame,AD,Frame,PO-DWARKA12,Retail,A,AD,Private Labels,Private Labels,Admyra,30,136,266,323,108,113,374,436,22,11,57,-130,-35,-165,,,,
PO-DWARKA12 AV,PO-DWARKA12AvantaFrame,AV,Frame,PO-DWARKA12,Retail,A,AV,Private Labels,Private Labels,Avanta,42,98,153,163,158,236,311,399,46,23,10,-55,36,-19,,,,
PO-DWARKA12 AV-K,PO-DWARKA12Avanta KidsFrame,AV-K,Frame,PO-DWARKA12,Retail,A,AV-K,Private Labels,Private Labels,Avanta Kids,12,28,16,16,26,26,42,42,0,0,0,12,0,12,,,,
PO-DWARKA12 CA,PO-DWARKA12CarreraFrame,CA,Frame,PO-DWARKA12,Retail,A,CA,Lifestyle,Safilo,Carrera,6,24,20,21,0,0,20,21,0,0,1,4,-1,3,,,,
