Barcode No.,Item Code,Item Name,Item Category,HSN Code,Quantity,MRP,Net Amount,Facility,Facility Name
608823,SYS142651,AV 0057 - Avanta - Male - L/Green - 52 - Full Frame - Rectangle - Sheet,frame,90031100,1,1303.13,1100.13,Ghaziabad RDC,Ghaziabad RDC
403890,SYS113876,SI/20050 - Stepper - Unisex - F290 - 50 - Full Frame - Round - Sheet,frame,90031100,1,6394.0,5115.2,Noida MOI,Noida MOI
2658424,SYS162300,AM 0127 - Admyra - Female - Trans/Blue - 53 - Full Frame - Cat Eye - Sheet,frame,90031100,1,2490.0,2273.72,Noida Sec 50,Noida Sec 50
523615,SYS41924,VO2925BI - Vogue - Female - W44 - 51 - Full Frame - Cat Eye - Sheet,frame,90031100,1,3365.63,2907.6,Noida Sec 50,Noida Sec 50
2673718,SYS153159,AV TR9532 - Avanta Kids - Kids - Black - 47 - Full Frame - Round - TR,frame,90031100,1,790.0,682.49,Noida Sec 50,Noida Sec 50
2673303,SYS167639,AV TR11523 - Avanta Kids - Kids - MT.Green - 46 - Full Frame - Rectangle - TR,frame,90031100,1,790.0,682.49,Noida Sec 50,Noida Sec 50
2676215,SYS2859,SG Opt 4 - Transparent - Unisex - White - 54 - Surgery SG - Sport - Plastic,Goggles,90041000,3,200.0,600.0,Indore Vijay Nagar,Indore Vijay Nagar
2661564,SYS162648,AV 0063 - Avanta - Male - Trans/Brown - 51 - Full Frame - Square - Sheet,frame,90031100,1,1190.0,952.0,Ghaziabad RDC,Ghaziabad RDC
2750730,SYS169645,PR D01VU - Prada - Female - 16K1O1 - 52 - Full Frame - Cat Eye - Sheet,frame,90031100,1,29590.0,23672.0,Delhi Dwarka Vegas Mall Sec 14,Delhi Dwarka Vegas Mall Sec 14
303732,SYS58669,RX6483I - Rayban - Male - 3129 - 53 - Rimless - Square - Metal,frame,90031100,1,4865.63,0.0,Noida Sec 50,Noida Sec 50
590158,SYS72194,RX6504I - Rayban - Male - 2509 - 53 - Rimless - Square - Metal,frame,90031100,1,5334.38,5334.38,Noida Sec 50,Noida Sec 50
810205,SYS76814,AV 0005 - Avanta - Male - M.Blue - 56 - Full Frame - Rectangle - Sheet,frame,90031100,1,936.56,857.35,Noida Sec 50,Noida Sec 50
53623,SYS159142,AV CX1504 - Avanta - Male - Gun/Blk - 53 - Full Frame - Square - Metal,frame,90031100,1,790.0,790.0,Delhi Pitampura,Delhi Pitampura
2755297,SYS172100,AV TR7202 - Avanta - Male - MT.Blue - 50 - Full Frame - Square - TR,frame,90031100,1,790.0,790.0,Warangal Hanamkonda Kakathiya,Warangal Hanamkonda Kakathiya
2675164,SYS168394,AV ZXA42003 - Avanta - Male - Gun - 48 - Supra - Rectangle - Metal,frame,90031100,1,790.0,671.5,Warangal Hanamkonda Kakathiya,Warangal Hanamkonda Kakathiya
2754689,SYS171519,AM CH6056 - Admyra - Male - C1 - 52 - Full Frame - Rectangle - Metal,Frame,90031100,1,2790.0,2060.27,Gwalior Lashkar Ratan Jyoti Netralaya,Gwalior Lashkar Ratan Jyoti Netralaya
SYS2859-76,SYS2859,SG Opt 4 - Transparent - Unisex - White - 54 - Surgery SG - Sport - Plastic,Goggles,90041000,1,200.0,200.0,Hyderabad Kukatpally Nizampet X Roads,Hyderabad Kukatpally Nizampet X Roads
SYS2859-75,SYS2859,SG Opt 4 - Transparent - Unisex - White - 54 - Surgery SG - Sport - Plastic,Goggles,90041000,1,200.0,200.0,Hyderabad Kukatpally Nizampet X Roads,Hyderabad Kukatpally Nizampet X Roads
2755058,SYS171862,AV JS911 - Avanta - Female - C5 - 51 - Full Frame - Cat Eye - TR,Frame,90031100,1,1090.0,875.84,Gwalior Lashkar Ratan Jyoti Netralaya,Gwalior Lashkar Ratan Jyoti Netralaya
2754916,SYS171720,AV 25218 - Avanta - Male - Transparent - 49 - Full Frame - Rectangle - TR,frame,90031100,1,1090.0,981.0,Panvel Laxmi Eye,Panvel Laxmi Eye
2659651,SYS162515,F253009 - Fridge - Male - Mix - 51 - Full Frame - Rectangle - TR,frame,90031100,1,890.0,831.32,Siddipet Gandhi Chowk Krishna Sai,Siddipet Gandhi Chowk Krishna Sai
2752604,SYS170517,AV 251012 - Avanta - Unisex - C5 - 47 - Full Frame - Round - TR,Frame,90031100,1,990.0,891.0,Noida Spectrum Mall,Noida Spectrum Mall
901239,SYS118777,AV YL23703 - Avanta Kids - Kids - Black - 45 - Full Frame - Round - TR,Frame,90031100,1,646.88,629.48,Greater Noida West Nirala Estate,Greater Noida West Nirala Estate
2751540,SYS169802,AM G186018 - Admyra - Male - Gold - 53 - Full Frame - Rectangle - Metal,frame,90031100,1,2190.0,1752.0,Delhi Preet Vihar Vikas Marg,Delhi Preet Vihar Vikas Marg
2658452,SYS162318,AM 0133 - Admyra - Female - D/Brown - 53 - Full Frame - Cat Eye - Sheet,Frame,90031100,1,2790.0,2353.6,Gwalior Lashkar Ratan Jyoti Netralaya,Gwalior Lashkar Ratan Jyoti Netralaya
2753127,SYS171027,AV 1005 - Avanta Kids - Kids - Black - 41 - Full Frame - Rectangle - TR,frame,90031100,1,890.0,800.0,Hyderabad Kukatpally Nizampet X Roads,Hyderabad Kukatpally Nizampet X Roads
524694,SYS158374,AV 0062 - Avanta - Male - D/Blue - 53 - Full Frame - Rectangle - Sheet,Frame,90031100,1,1116.0,892.8,Noida Spectrum Mall,Noida Spectrum Mall
2752005,SYS169994,AV 527437 - Avanta - Male - Pink - 49 - Supra - Rectangle - Metal,frame,90031100,1,790.0,726.99,Panvel Laxmi Eye,Panvel Laxmi Eye
2676079,SYS158414,AV 0068HD - Avanta - Unisex - D/Wine - 48 - Full Frame - Round - Sheet,Frame,90031100,1,1190.0,952.0,Indore Vijay Nagar,Indore Vijay Nagar
2755565,SYS172368,AV 6010 - Avanta - Male - C10 - 50 - Full Frame - Square - TR,frame,90031100,1,890.0,787.61,Kamothe Laxmi Eye,Kamothe Laxmi Eye
2755052,SYS171856,AV JS912 - Avanta - Female - C1 - 49 - Full Frame - Round - TR,frame,90031100,1,1090.0,981.0,Delhi Preet Vihar Vikas Marg,Delhi Preet Vihar Vikas Marg
2675294,SYS168511,AV 87002 - Avanta - Unisex - MT.Grey - 47 - Full Frame - Round - TR,Frame,90031100,1,890.0,760.3,Gwalior Lashkar Ratan Jyoti Netralaya,Gwalior Lashkar Ratan Jyoti Netralaya
101301,SYS9365,FF 5807 - Femina Flaunt - Unisex - C17 - 50 - Full Frame - Full Frame - Sheet,Frame,90031100,1,834.38,718.85,Gwalior Lashkar Ratan Jyoti Netralaya,Gwalior Lashkar Ratan Jyoti Netralaya
2752172,SYS170155,AV 99520205 - Avanta - Male - Gun - 49 - Full Frame - Hexagon - Metal,frame,90031100,1,1290.0,1096.5,Bhopal Hoshangabad Road,Bhopal Hoshangabad Road
2752618,SYS170531,AV 251017 - Avanta - Male - C1 - 53 - Full Frame - Rectangle - TR,frame,90031100,1,990.0,890.66,Varanasi Mahmoorganj,Varanasi Mahmoorganj
692455,SYS91391,AV RB016 - Avanta Kids - kids - Pink - 41 - Full Frame - Rectangle - TR,frame,90031100,1,740.63,602.39,Gurgaon Sec 29,Gurgaon Sec 29
2675000,SYS162646,AV 0063 - Avanta - Male - D/Brown - 51 - Full Frame - Square - Sheet,frame,90031100,1,1190.0,967.89,Gurgaon Sec 29,Gurgaon Sec 29
2755040,SYS171844,AV 5E201 - Avanta - Female - Trans/Green - 50 - Full Frame - Cat Eye - TR,Frame,90031100,1,1090.0,941.98,Gwalior Lashkar Ratan Jyoti Netralaya,Gwalior Lashkar Ratan Jyoti Netralaya
2669909,SYS7579,OB Sport - OMBRA - Unisex - Sunglass - Sport - Sheet,Goggles,90041000,1,1499.0,1499.0,Delhi Dwarka Sec 09,Delhi Dwarka Sec 09
