Branch Name,Order Date,FY,Period Month,Product Code,Product Type,Brand Name,Brand category,Brand category-2,Material,Material-2,Description,Retail Price (Rs ),MRP Range,GST Percentage,Net Amount (Rs ),Purchase Price (Rs ),Quantity,Total Retail Price (Rs ),Total Net Amount,Total Purchase Price (Rs ),Status,Barcode,Supplier Name
Noida GaurCity,2026-02-28,25-26,2026-02-01,SYS160364,Frame,Avanta,Private Label,Private Label,Metal,Metal,AV 250307 - Avanta - Male - C1 - 54 - Rimless - Square - Metal,1390.0,(c) 1000-1499,5,1188.03,329.175,1,1390.0,1188.03,329.175,Completed,55984,CAPITAL CORPORATION
Noida GaurCity,2026-02-28,25-26,2026-02-01,SYS165515,Sunglass,OMBRA,Private Label,Private Label,Metal,Metal,OB Z5501 - OMBRA - Male - C4 - 54 - Sunglass - Square - Metal,1190.0,(c) 1000-1499,18,1017.09,500.32,1,1190.0,1017.09,500.32,Completed,2666839,Techno Design Optical Factory Shenzhen Limited
Noida GaurCity,2026-02-28,25-26,2026-02-01,SYS104393,Sunglass,Rayban Junior,Intl Brand Kids,Intl Brand,Metal,Metal,RJ9116S - Rayban Junior - Kids - 152/13 - 47 - Full SG - Club Master - Metal,5590.0,(i) 5000-7999,18,5031.0,3481.0,1,5590.0,5031.0,3481.0,Completed,2659930,LUXOTTICA INDIA EYEWEAR PRIVATE LTD
Noida GaurCity,2026-02-28,25-26,2026-02-01,SYS145005,Frame,Emporio Armani,Intl Brand,Intl Brand,Sheet,Plastic,EA3253 - Emporio Armani - Male - 5001 - 53 - Full Frame - Rectangle - Sheet,10115.63,(j) 8000-11999,5,8092.55,5302.08,1,10115.63,8092.55,5302.08,Completed,814072,LUXOTTICA INDIA EYEWEAR PRIVATE LTD
Noida GaurCity,2026-02-28,25-26,2026-02-01,SYS56546,Sunglass,Emporio Armani,Intl Brand,Intl Brand,Sheet,Plastic,EA4047 - Emporio Armani - Male - 506381 - 56 - Full SG - Rectangle - Sheet,17290.0,(l) 17000-26999,18,15561.0,8951.48,1,17290.0,15561.0,8951.48,Completed,2659919,LUXOTTICA INDIA EYEWEAR PRIVATE LTD
Ghaziabad RDC,2026-02-28,25-26,2026-02-01,SYS78179,Frame,Vogue,Intl Brand,Intl Brand,Sheet,Plastic,VO5533I - Vogue - Female - W656 - 53 - Full Frame - Cat Eye - Sheet,3190.0,(g) 3000-3499,5,2552.0,1612.2855,1,3190.0,2552.0,1612.2855,Completed,2665391,LUXOTTICA INDIA EYEWEAR PRIVATE LTD
Noida GaurCity,2026-02-28,25-26,2026-02-01,SYS60229,Frame,Gucci,Intl Brand,Intl Brand,Sheet,Plastic,GG0006ON - Gucci - Male - 002 - 53 - Full Frame - Rectangle - Sheet,17906.25,(l) 17000-26999,5,11460.25,10187.52,1,17906.25,11460.25,10187.52,Completed,553401,Kering Eyewear India Private Limited
Noida GaurCity,2026-02-28,25-26,2026-02-01,SYS49500,Sunglass,Emporio Armani,Intl Brand,Intl Brand,Sheet,Plastic,EA4115 - Emporio Armani - Male - 58011W - 54 - Full SG - Wayfarer - Sheet,15290.0,(k) 12000-16999,18,12232.8,7916.62,1,15290.0,12232.8,7916.62,Completed,2658849,LUXOTTICA INDIA EYEWEAR PRIVATE LTD
Indore Vijay Nagar,2026-02-28,25-26,2026-02-01,SYS2859,Surgery Goggles,Local Label,Local Label,Local Label,Sheet,Plastic,SG Opt 4 - Transparent - Unisex - White - 54 - Surgery SG - Sport - Plastic,200.0,(a) Upto 499,18,190.0,25.37,1,200.0,190.0,25.37,Completed,2661819,CYNOR SOLUTION
Ghaziabad RDC,2026-02-28,25-26,2026-02-01,SYS152726,Sunglass,Rayban,Intl Brand,Intl Brand,Metal,Metal,RB3547 - Rayban - Male - 001/4E - 51 - Sunglass - Oval - Metal,11790.0,(j) 8000-11999,18,9850.0,7343.14,1,11790.0,9850.0,7343.14,Completed,953487,LUXOTTICA INDIA EYEWEAR PRIVATE LTD
Indore Vijay Nagar,2026-02-28,25-26,2026-02-01,SYS152903,Frame,Avanta,Private Label,Private Label,Metal,Metal,AV 56129 - Avanta - Male - C2 - 52 - Half Frame - Square - Metal,1590.0,(d) 1500-1999,5,1351.5,420.0,1,1590.0,1351.5,420.0,Completed,2666722,Techno Design Optical Factory Shenzhen Limited
Noida MOI,2026-02-28,25-26,2026-02-01,SYS162417,Sunglass,Rayban,Intl Brand,Intl Brand,Sheet,Plastic,RB2140 - Rayban - Male - 901 - 50 - Sunglass - Wayfarer - Sheet,11790.0,(j) 8000-11999,18,10611.0,7342.5618,1,11790.0,10611.0,7342.5618,Completed,2665285,LUXOTTICA INDIA EYEWEAR PRIVATE LTD
Panvel Laxmi Eye,2026-02-28,25-26,2026-02-01,SYS117291,Surgery Goggles,Local Label,Local Label,Local Label,Sheet,Plastic,SG Opt 6 - BECOOL Transparent - Unisex - Surgery goggle - FULL - Sheet,200.0,(a) Upto 499,18,200.0,56.64,1,200.0,200.0,56.64,Completed,2669017,CAPITAL CORPORATION
Delhi Dwarka Sec 09,2026-02-28,25-26,2026-02-01,SYS7579,Surgery Goggles,OMBRA,Private Label,Private Label,Sheet,Plastic,OB Sport - OMBRA - Unisex - Sunglass - Sport - Sheet,1499.0,(c) 1000-1499,18,1499.0,354.0,1,1499.0,1499.0,354.0,Completed,2659001,Dhingra Optics
Delhi Dwarka Sec 09,2026-02-28,25-26,2026-02-01,SYS2857,Surgery Goggles,Local Label,Local Label,Local Label,Sheet,Plastic,SG Opt 2 - Dark cataract - Unisex - Black - 54 - Surgery SG - Sport - Plastic,200.0,(a) Upto 499,18,200.0,25.37,2,400.0,400.0,50.74,Completed,2664681,CYNOR SOLUTION
Panvel Laxmi Eye,2026-02-28,25-26,2026-02-01,SYS162938,Frame,Avanta,Private Label,Private Label,Metal,Metal,AV 202532 - Avanta - Female - Copper - 49 - Half Frame - Rectangle - Metal,790.0,(b) 500-999,5,711.0,189.525,1,790.0,711.0,189.525,Completed,2662337,Dhingra Optics
